year,income,Subregion,avg_budget_priority_gap
2000,High,Eastern Africa,8.168977739999999
2000,Low,Eastern Africa,9.02894766
2000,Low,Central Africa,4.289796824999998
2000,Low,Northern Africa,3.22520733
2000,Low,Southern Africa,8.320373535000002
2000,Low,Western Africa,9.89140740125
2000,Lower-middle,Eastern Africa,7.9070985325
2000,Lower-middle,Central Africa,11.650413754999999
2000,Lower-middle,Northern Africa,9.040884972499999
2000,Lower-middle,Southern Africa,8.29374683
2000,Lower-middle,Western Africa,9.41059552
2000,Upper-middle,Central Africa,11.224544524999999
2000,Upper-middle,Northern Africa,7.5904707899999995
2000,Upper-middle,Southern Africa,6.029041450000001
2001,High,Eastern Africa,6.97422409
2001,Low,Eastern Africa,8.55454754857143
2001,Low,Central Africa,3.7027330399999983
2001,Low,Northern Africa,3.631263730000004
2001,Low,Southern Africa,8.320373535000002
2001,Low,Western Africa,9.92932251125
2001,Lower-middle,Eastern Africa,8.50728345
2001,Lower-middle,Central Africa,9.770102419999999
2001,Lower-middle,Northern Africa,9.0347759125
2001,Lower-middle,Southern Africa,7.290198920000001
2001,Lower-middle,Western Africa,8.745672122857144
2001,Upper-middle,Central Africa,11.277451634999998
2001,Upper-middle,Northern Africa,7.475200654999999
2001,Upper-middle,Southern Africa,6.3943217599999995
2002,High,Eastern Africa,8.543892379999999
2002,Low,Eastern Africa,8.246988261428571
2002,Low,Central Africa,4.83402681
2002,Low,Northern Africa,4.2928085299999985
2002,Low,Southern Africa,8.320373535000002
2002,Low,Western Africa,9.75666075875
2002,Lower-middle,Eastern Africa,7.7290632724999995
2002,Lower-middle,Central Africa,9.560644703333333
2002,Lower-middle,Northern Africa,8.77536422
2002,Lower-middle,Southern Africa,8.002735375
2002,Lower-middle,Western Africa,9.041912931428572
2002,Upper-middle,Central Africa,11.068782685
2002,Upper-middle,Northern Africa,7.13506484
2002,Upper-middle,Southern Africa,6.3987793933333315
2003,High,Eastern Africa,5.7113466299999995
2003,Low,Eastern Africa,7.567810877142857
2003,Low,Central Africa,4.234906675000001
2003,Low,Northern Africa,4.928479190000001
2003,Low,Southern Africa,8.024919030000001
2003,Low,Western Africa,9.654242515
2003,Lower-middle,Eastern Africa,7.692318085
2003,Lower-middle,Central Africa,8.317010283333333
2003,Lower-middle,Northern Africa,9.100388825
2003,Lower-middle,Southern Africa,7.777954695
2003,Lower-middle,Western Africa,8.311119831428572
2003,Upper-middle,Central Africa,10.19203842
2003,Upper-middle,Northern Africa,7.12680602
2003,Upper-middle,Southern Africa,5.788097223333334
2004,High,Eastern Africa,5.445168499999999
2004,Low,Eastern Africa,8.380921604285714
2004,Low,Central Africa,3.723936079999998
2004,Low,Northern Africa,5.473253250000001
