year,income,Subregion,countries_below_abuja
2000,Low,Eastern Africa,7
2000,Low,Central Africa,2
2000,Low,Northern Africa,1
2000,Low,Southern Africa,2
2000,Low,Western Africa,8
2000,Lower-middle,Eastern Africa,4
2000,Lower-middle,Central Africa,2
2000,Lower-middle,Northern Africa,4
2000,Lower-middle,Southern Africa,4
2000,Lower-middle,Western Africa,7
2000,Upper-middle,Eastern Africa,1
2000,Upper-middle,Central Africa,2
2000,Upper-middle,Northern Africa,2
2000,Upper-middle,Southern Africa,3
2001,Low,Eastern Africa,7
2001,Low,Central Africa,2
2001,Low,Northern Africa,1
2001,Low,Southern Africa,2
2001,Low,Western Africa,8
2001,Lower-middle,Eastern Africa,4
2001,Lower-middle,Central Africa,3
2001,Lower-middle,Northern Africa,4
2001,Lower-middle,Southern Africa,4
2001,Lower-middle,Western Africa,7
2001,Upper-middle,Eastern Africa,1
2001,Upper-middle,Central Africa,2
2001,Upper-middle,Northern Africa,2
2001,Upper-middle,Southern Africa,3
2002,Low,Eastern Africa,7
2002,Low,Central Africa,2
2002,Low,Northern Africa,1
2002,Low,Southern Africa,2
2002,Low,Western Africa,8
2002,Lower-middle,Eastern Africa,4
2002,Lower-middle,Central Africa,3
2002,Lower-middle,Northern Africa,4
2002,Lower-middle,Southern Africa,4
2002,Lower-middle,Western Africa,7
2002,Upper-middle,Eastern Africa,1
2002,Upper-middle,Central Africa,2
2002,Upper-middle,Northern Africa,2
2002,Upper-middle,Southern Africa,3
2003,Low,Eastern Africa,7
2003,Low,Central Africa,2
2003,Low,Northern Africa,1
2003,Low,Southern Africa,2
2003,Low,Western Africa,8
2003,Lower-middle,Eastern Africa,4
2003,Lower-middle,Central Africa,3
2003,Lower-middle,Northern Africa,4
2003,Lower-middle,Southern Africa,4
2003,Lower-middle,Western Africa,7
2003,Upper-middle,Eastern Africa,1
2003,Upper-middle,Central Africa,2
2003,Upper-middle,Northern Africa,2
2003,Upper-middle,Southern Africa,3
2004,Low,Eastern Africa,7
2004,Low,Central Africa,1
2004,Low,Northern Africa,1
2004,Low,Southern Africa,2
2004,Low,Western Africa,8
2004,Lower-middle,Eastern Africa,4
2004,Lower-middle,Central Africa,3
2004,Lower-middle,Northern Africa,4
2004,Lower-middle,Southern Africa,4
2004,Lower-middle,Western Africa,7
2004,Upper-middle,Eastern Africa,1
2004,Upper-middle,Central Africa,2
2004,Upper-middle,Northern Africa,2
2004,Upper-middle,Southern Africa,3
2005,Low,Eastern Africa,7
2005,Low,Central Africa,2
2005,Low,Northern Africa,1
2005,Low,Southern Africa,2
2005,Low,Western Africa,8
2005,Lower-middle,Eastern Africa,4
2005,Lower-middle,Central Africa,3
2005,Lower-middle,Northern Africa,4
2005,Lower-middle,Southern Africa,4
2005,Lower-middle,Western Africa,7
2005,Upper-middle,Eastern Africa,1
2005,Upper-middle,Central Africa,2
2005,Upper-middle,Northern Africa,2
2005,Upper-middle,Southern Africa,3
2006,Low,Eastern Africa,7
2006,Low,Central Africa,2
2006,Low,Northern Africa,1
2006,Low,Southern Africa,2
2006,Low,Western Africa,8
2006,Lower-middle,Eastern Africa,4
2006,Lower-middle,Central Africa,3
2006,Lower-middle,Northern Africa,4
2006,Lower-middle,Southern Africa,4
2006,Lower-middle,Western Africa,7
2006,Upper-middle,Eastern Africa,1
2006,Upper-middle,Central Africa,2
2006,Upper-middle,Northern Africa,2
2006,Upper-middle,Southern Africa,3
2007,Low,Eastern Africa,7
2007,Low,Central Africa,2
2007,Low,Northern Africa,1
2007,Low,Southern Africa,2
2007,Low,Western Africa,8
2007,Lower-middle,Eastern Africa,4
2007,Lower-middle,Central Africa,3
2007,Lower-middle,Northern Africa,4
2007,Lower-middle,Southern Africa,4
2007,Lower-middle,Western Africa,7
2007,Upper-middle,Eastern Africa,1
2007,Upper-middle,Central Africa,2
2007,Upper-middle,Northern Africa,2
2007,Upper-middle,Southern Africa,3
2008,Low,Eastern Africa,7
2008,Low,Central Africa,2
2008,Low,Northern Africa,1
2008,Low,Southern Africa,2
2008,Low,Western Africa,8
2008,Lower-middle,Eastern Africa,4
2008,Lower-middle,Central Africa,3
2008,Lower-middle,Northern Africa,4
2008,Lower-middle,Southern Africa,4
2008,Lower-middle,Western Africa,7
2008,Upper-middle,Eastern Africa,1
2008,Upper-middle,Central Africa,2
2008,Upper-middle,Northern Africa,2
2008,Upper-middle,Southern Africa,3
2009,Low,Eastern Africa,7
2009,Low,Central Africa,2
2009,Low,Northern Africa,1
2009,Low,Southern Africa,2
2009,Low,Western Africa,8
2009,Lower-middle,Eastern Africa,4
2009,Lower-middle,Central Africa,3
2009,Lower-middle,Northern Africa,4
2009,Lower-middle,Southern Africa,4
2009,Lower-middle,Western Africa,7
2009,Upper-middle,Eastern Africa,1
2009,Upper-middle,Central Africa,2
2009,Upper-middle,Northern Africa,2
2009,Upper-middle,Southern Africa,4
2010,Low,Eastern Africa,6
2010,Low,Central Africa,2
2010,Low,Northern Africa,1
2010,Low,Southern Africa,2
2010,Low,Western Africa,8
2010,Lower-middle,Eastern Africa,4
