year,income,Subregion,gini_budget_priority
2000,Low,Eastern Africa,0.3005447758206672
2000,Low,Middle Africa,0.03214627321950858
2000,Low,Northern Africa,0.0
2000,Low,Southern Africa,0.02717045832592091
2000,Low,Western Africa,0.21090592270851327
2000,Lower-middle,Eastern Africa,0.09096193477115988
2000,Lower-middle,Middle Africa,0.5143542545287907
2000,Lower-middle,Northern Africa,0.2793427934253785
2000,Lower-middle,Southern Africa,0.20214087686313853
2000,Lower-middle,Western Africa,0.2388076912236048
2000,Upper-middle,Eastern Africa,0.0
2000,Upper-middle,Middle Africa,0.19412584716020231
2000,Upper-middle,Northern Africa,0.09242885082033436
2000,Upper-middle,Southern Africa,0.21400091394818532
2001,Low,Eastern Africa,0.2851734631500491
2001,Low,Middle Africa,0.025294142469303837
2001,Low,Northern Africa,0.0
2001,Low,Southern Africa,0.02717045832592091
2001,Low,Western Africa,0.19195794228252083
2001,Lower-middle,Eastern Africa,0.1460868230494372
2001,Lower-middle,Middle Africa,0.15755171336346652
2001,Lower-middle,Northern Africa,0.28145731048783507
2001,Lower-middle,Southern Africa,0.09538508741914242
2001,Lower-middle,Western Africa,0.2730385032562588
2001,Upper-middle,Eastern Africa,0.0
2001,Upper-middle,Middle Africa,0.10949776135413614
2001,Upper-middle,Northern Africa,0.11573814962636741
2001,Upper-middle,Southern Africa,0.2100418765583103
2002,Low,Eastern Africa,0.3005696286015147
2002,Low,Middle Africa,0.07665041510895443
2002,Low,Northern Africa,0.0
2002,Low,Southern Africa,0.02717045832592091
2002,Low,Western Africa,0.16707260926195744
2002,Lower-middle,Eastern Africa,0.11395234141445787
2002,Lower-middle,Middle Africa,0.2940110193823142
2002,Lower-middle,Northern Africa,0.24263129516792414
2002,Lower-middle,Southern Africa,0.14142488822909138
2002,Lower-middle,Western Africa,0.21205035362110713
2002,Upper-middle,Eastern Africa,0.0
2002,Upper-middle,Middle Africa,0.09315821364100807
2002,Upper-middle,Northern Africa,0.006897901749516766
2002,Upper-middle,Southern Africa,0.2191712557488259
2003,Low,Eastern Africa,0.3089691569183548
2003,Low,Middle Africa,0.0828388747386899
2003,Low,Northern Africa,0.0
2003,Low,Southern Africa,0.04719884491892867
2003,Low,Western Africa,0.16001323804908796
2003,Lower-middle,Eastern Africa,0.10278213358031785
2003,Lower-middle,Middle Africa,0.3266361243316098
2003,Lower-middle,Northern Africa,0.2935148340517546
2003,Lower-middle,Southern Africa,0.20764676648618563
2003,Lower-middle,Western Africa,0.23984185479362274
2003,Upper-middle,Eastern Africa,0.0
2003,Upper-middle,Middle Africa,0.2024156066571563
2003,Upper-middle,Northern Africa,0.0993620907838979
2003,Upper-middle,Southern Africa,0.21903976198840525
2004,Low,Eastern Africa,0.26191628101358555
2004,Low,Middle Africa,0.07137363542888986
2004,Low,Northern Africa,0.0
2004,Low,Southern Africa,0.058412381050058526
2004,Low,Western Africa,0.18233050848613575
2004,Lower-middle,Eastern Africa,0.1526461156183565
2004,Lower-middle,Middle Africa,0.2895328183557162
2004,Lower-middle,Northern Africa,0.2812978597540947
2004,Lower-middle,Southern Africa,0.12681021828404782
2004,Lower-middle,Western Africa,0.21429046085128745
2004,Upper-middle,Eastern Africa,0.0
2004,Upper-middle,Middle Africa,0.16546024248507774
2004,Upper-middle,Northern Africa,0.11525499290587393
2004,Upper-middle,Southern Africa,0.20752426643777167
2005,Low,Eastern Africa,0.2700838618950212
2005,Low,Middle Africa,0.15998407288356797
2005,Low,Northern Africa,0.0
2005,Low,Southern Africa,0.08171796453897606
2005,Low,Western Africa,0.23523977996594714
2005,Lower-middle,Eastern Africa,0.19289890496266793
2005,Lower-middle,Middle Africa,0.34066994445688037
2005,Lower-middle,Northern Africa,0.24612078425485517
2005,Lower-middle,Southern Africa,0.2056986531877536
2005,Lower-middle,Western Africa,0.255843687903637
