year,income,pct_gov_dominant_uhc50,pct_gov_dominant_uhc75
2000,High,100.0,100.0
2000,Low,0.0,0.0
2000,Lower-middle,22.727272727272727,13.636363636363635
2000,Upper-middle,50.0,50.0
2001,High,100.0,100.0
2001,Low,0.0,0.0
2001,Lower-middle,13.636363636363635,9.090909090909092
2001,Upper-middle,62.5,62.5
2002,High,100.0,100.0
2002,Low,0.0,0.0
2002,Lower-middle,13.636363636363635,9.090909090909092
2002,Upper-middle,62.5,62.5
2003,High,100.0,100.0
2003,Low,0.0,0.0
2003,Lower-middle,18.181818181818183,13.636363636363635
2003,Upper-middle,62.5,62.5
2004,High,100.0,100.0
2004,Low,0.0,0.0
2004,Lower-middle,13.636363636363635,9.090909090909092
2004,Upper-middle,62.5,62.5
2005,High,100.0,100.0
2005,Low,0.0,0.0
2005,Lower-middle,9.090909090909092,9.090909090909092
2005,Upper-middle,37.5,37.5
2006,High,100.0,100.0
2006,Low,0.0,0.0
2006,Lower-middle,18.181818181818183,9.090909090909092
2006,Upper-middle,37.5,37.5
2007,High,100.0,100.0
2007,Low,0.0,0.0
2007,Lower-middle,18.181818181818183,9.090909090909092
2007,Upper-middle,37.5,37.5
2008,High,100.0,100.0
2008,Low,0.0,0.0
2008,Lower-middle,27.27272727272727,13.636363636363635
2008,Upper-middle,37.5,37.5
2009,High,100.0,100.0
2009,Low,0.0,0.0
2009,Lower-middle,27.27272727272727,13.636363636363635
2009,Upper-middle,37.5,37.5
2010,High,100.0,100.0
2010,Low,0.0,0.0
2010,Lower-middle,17.391304347826086,8.695652173913043
2010,Upper-middle,62.5,62.5
2011,High,100.0,100.0
2011,Low,0.0,0.0
2011,Lower-middle,17.391304347826086,8.695652173913043
2011,Upper-middle,62.5,62.5
2012,High,100.0,100.0
2012,Low,0.0,0.0
2012,Lower-middle,17.391304347826086,8.695652173913043
2012,Upper-middle,62.5,62.5
2013,High,100.0,100.0
2013,Low,0.0,0.0
2013,Lower-middle,13.043478260869565,8.695652173913043
2013,Upper-middle,75.0,75.0
2014,High,100.0,100.0
2014,Low,0.0,0.0
2014,Lower-middle,13.043478260869565,13.043478260869565
2014,Upper-middle,75.0,75.0
2015,High,100.0,100.0
2015,Low,0.0,0.0
2015,Lower-middle,13.043478260869565,13.043478260869565
2015,Upper-middle,75.0,62.5
2016,High,100.0,100.0
2016,Low,0.0,0.0
2016,Lower-middle,13.043478260869565,13.043478260869565
2016,Upper-middle,75.0,62.5
2017,High,100.0,100.0
2017,Low,0.0,0.0
2017,Lower-middle,26.08695652173913,17.391304347826086
2017,Upper-middle,75.0,62.5
2018,High,100.0,100.0
2018,Low,0.0,0.0
2018,Lower-middle,21.73913043478261,8.695652173913043
2018,Upper-middle,75.0,62.5
2019,High,100.0,100.0
2019,Low,0.0,0.0
2019,Lower-middle,21.73913043478261,13.043478260869565
2019,Upper-middle,75.0,62.5
2020,High,100.0,100.0
2020,Low,0.0,0.0
2020,Lower-middle,17.391304347826086,13.043478260869565
2020,Upper-middle,75.0,62.5
2021,High,100.0,100.0
2021,Low,0.0,0.0
2021,Lower-middle,13.043478260869565,8.695652173913043
2021,Upper-middle,87.5,75.0
2022,High,100.0,100.0
2022,Low,0.0,0.0
2022,Lower-middle,21.73913043478261,13.043478260869565
2022,Upper-middle,50.0,50.0
2023,High,100.0,100.0
2023,Low,0.0,0.0
2023,Lower-middle,17.391304347826086,13.043478260869565
2023,Upper-middle,62.5,62.5
