year,income,Subregion,avg_financial_protection_gap
2000,Low,Eastern Africa,26.831971575714284
2000,Low,Central Africa,32.24719810500001
2000,Low,Northern Africa,41.82265854
2000,Low,Southern Africa,18.881175989999996
2000,Low,Western Africa,49.19490868571428
2000,Lower-middle,Eastern Africa,32.47625351
2000,Lower-middle,Central Africa,38.33825683333334
2000,Lower-middle,Northern Africa,38.2015113825
2000,Lower-middle,Southern Africa,17.51480611
2000,Lower-middle,Western Africa,33.52603531
2000,Upper-middle,Central Africa,32.663900375
2000,Upper-middle,Northern Africa,18.542812344999998
2000,Upper-middle,Southern Africa,24.000068660000004
2001,Low,Eastern Africa,25.448249272857147
2001,Low,Central Africa,36.18190575
2001,Low,Northern Africa,42.280700679999995
2001,Low,Southern Africa,6.687618260000001
2001,Low,Western Africa,46.47601263857143
2001,Lower-middle,Eastern Africa,34.15287304
2001,Lower-middle,Central Africa,34.836864469999995
2001,Lower-middle,Northern Africa,38.413404465
2001,Lower-middle,Southern Africa,17.43042691333333
2001,Lower-middle,Western Africa,31.444468089999994
2001,Upper-middle,Central Africa,32.574245454999996
2001,Upper-middle,Northern Africa,13.598233225000005
2001,Upper-middle,Southern Africa,23.81983185
2002,Low,Eastern Africa,24.952778679999998
2002,Low,Central Africa,37.16660880999999
2002,Low,Northern Africa,41.42131805
2002,Low,Southern Africa,7.982416149999999
2002,Low,Western Africa,43.00131334428572
2002,Lower-middle,Eastern Africa,31.059918402500003
2002,Lower-middle,Central Africa,37.838361103333334
2002,Lower-middle,Northern Africa,36.95080185
2002,Lower-middle,Southern Africa,16.079274493333333
2002,Lower-middle,Western Africa,31.839755467142854
2002,Upper-middle,Central Africa,48.25829697
2002,Upper-middle,Northern Africa,7.807062149999998
2002,Upper-middle,Southern Africa,24.87164688
2003,Low,Eastern Africa,25.270005543333337
2003,Low,Central Africa,28.240680695000002
2003,Low,Northern Africa,42.56050873
2003,Low,Southern Africa,1.2150630999999983
2003,Low,Western Africa,43.77846527142857
2003,Lower-middle,Eastern Africa,28.199492455
2003,Lower-middle,Central Africa,34.957698823333324
2003,Lower-middle,Northern Africa,37.724170685000004
2003,Lower-middle,Southern Africa,16.46532949
2003,Lower-middle,Western Africa,34.03143446714285
2003,Upper-middle,Central Africa,42.994615554999996
2003,Upper-middle,Northern Africa,7.451886174999997
2003,Upper-middle,Southern Africa,25.32218551999999
2004,Low,Eastern Africa,18.698895862857142
2004,Low,Central Africa,32.072423934999996
2004,Low,Northern Africa,37.17787169999999
2004,Low,Western Africa,42.108505794285726
2004,Lower-middle,Eastern Africa,28.415368079999993
2004,Lower-middle,Central Africa,34.926497143333336
2004,Lower-middle,Northern Africa,38.4834136975
2004,Lower-middle,Southern Africa,16.48732376
2004,Lower-middle,Western Africa,33.003566469999996
2004,Upper-middle,Central Africa,41.791578295
2004,Upper-middle,Northern Africa,10.153917315000003
2004,Upper-middle,Southern Africa,23.422866820000003
