year,income,Subregion,financial hardship
2000,Low,Eastern Africa,47.56
2000,Low,Central Africa,
2000,Low,Northern Africa,
2000,Low,Southern Africa,
2000,Low,Western Africa,
2000,Lower-middle,Eastern Africa,64.74
2000,Lower-middle,Central Africa,
2000,Lower-middle,Northern Africa,23.509999999999998
2000,Lower-middle,Southern Africa,45.69
2000,Lower-middle,Western Africa,
2000,Upper-middle,Eastern Africa,
2000,Upper-middle,Central Africa,
2000,Upper-middle,Northern Africa,
2000,Upper-middle,Southern Africa,25.54
2001,Low,Eastern Africa,
2001,Low,Central Africa,
2001,Low,Northern Africa,
2001,Low,Southern Africa,
2001,Low,Western Africa,
2001,Lower-middle,Eastern Africa,
2001,Lower-middle,Central Africa,46.78
2001,Lower-middle,Northern Africa,
2001,Lower-middle,Southern Africa,
2001,Lower-middle,Western Africa,33.144999999999996
2001,Upper-middle,Eastern Africa,
2001,Upper-middle,Central Africa,
2001,Upper-middle,Northern Africa,
2001,Upper-middle,Southern Africa,
2002,Low,Eastern Africa,49.67
2002,Low,Central Africa,
2002,Low,Northern Africa,
2002,Low,Southern Africa,35.24
2002,Low,Western Africa,44.31
2002,Lower-middle,Eastern Africa,22.07
2002,Lower-middle,Central Africa,
2002,Lower-middle,Northern Africa,
2002,Lower-middle,Southern Africa,
2002,Lower-middle,Western Africa,38.05
2002,Upper-middle,Eastern Africa,
2002,Upper-middle,Central Africa,
2002,Upper-middle,Northern Africa,
2002,Upper-middle,Southern Africa,
2003,Low,Eastern Africa,
2003,Low,Central Africa,46.24
2003,Low,Northern Africa,
2003,Low,Southern Africa,
2003,Low,Western Africa,52.49
2003,Lower-middle,Eastern Africa,
2003,Lower-middle,Central Africa,
2003,Lower-middle,Northern Africa,
2003,Lower-middle,Southern Africa,
2003,Lower-middle,Western Africa,46.97
2003,Upper-middle,Eastern Africa,
2003,Upper-middle,Central Africa,
2003,Upper-middle,Northern Africa,
2003,Upper-middle,Southern Africa,
2004,Low,Eastern Africa,46.324999999999996
2004,Low,Central Africa,
2004,Low,Northern Africa,
2004,Low,Southern Africa,63.94
2004,Low,Western Africa,
