year,income,Subregion,gini_oop
2000,High,Eastern Africa,0.0
2000,Low,Eastern Africa,0.15069002071649695
2000,Low,Central Africa,0.037983480827272986
2000,Low,Northern Africa,0.0
2000,Low,Southern Africa,0.19874678325167694
2000,Low,Western Africa,0.1657787209148438
2000,Lower-middle,Eastern Africa,0.15089009898050532
2000,Lower-middle,Central Africa,0.13192391221631228
2000,Lower-middle,Northern Africa,0.13551733719232173
2000,Lower-middle,Southern Africa,0.17811958433999986
2000,Lower-middle,Western Africa,0.16019752982446644
2000,Upper-middle,Central Africa,0.004691291866739222
2000,Upper-middle,Northern Africa,0.16537841778239848
2000,Upper-middle,Southern Africa,0.3838770955718156
2001,High,Eastern Africa,0.0
2001,Low,Eastern Africa,0.16481401098033932
2001,Low,Central Africa,0.0185026062416902
2001,Low,Northern Africa,0.0
2001,Low,Southern Africa,0.08998044241461867
2001,Low,Western Africa,0.1577801110671837
2001,Lower-middle,Eastern Africa,0.1416440953526925
2001,Lower-middle,Central Africa,0.12758583974198223
2001,Lower-middle,Northern Africa,0.1322529349342898
2001,Lower-middle,Southern Africa,0.1769318805670339
2001,Lower-middle,Western Africa,0.1848871143868509
2001,Upper-middle,Central Africa,0.016656371858908336
2001,Upper-middle,Northern Africa,0.17753477325889966
2001,Upper-middle,Southern Africa,0.39185042385903657
2002,High,Eastern Africa,0.0
2002,Low,Eastern Africa,0.14679992061466596
2002,Low,Central Africa,0.06619925011780681
2002,Low,Northern Africa,0.0
2002,Low,Southern Africa,0.15117268247356241
2002,Low,Western Africa,0.16019196288846782
2002,Lower-middle,Eastern Africa,0.13217482544086012
2002,Lower-middle,Central Africa,0.10861859472851454
2002,Lower-middle,Northern Africa,0.10893120754629004
2002,Lower-middle,Southern Africa,0.19986432081431027
2002,Lower-middle,Western Africa,0.1816529694373039
2002,Upper-middle,Central Africa,0.10343902475479538
2002,Upper-middle,Northern Africa,0.09497908933180832
2002,Upper-middle,Southern Africa,0.4094791418998014
2003,High,Eastern Africa,0.0
2003,Low,Eastern Africa,0.19315768878300377
2003,Low,Central Africa,0.00855242425181535
2003,Low,Northern Africa,0.0
2003,Low,Southern Africa,0.13735770194185348
2003,Low,Western Africa,0.16689931818564796
2003,Lower-middle,Eastern Africa,0.15755013503699766
2003,Lower-middle,Central Africa,0.1600958909112835
2003,Lower-middle,Northern Africa,0.09926546610809917
2003,Lower-middle,Southern Africa,0.20972619137531323
2003,Lower-middle,Western Africa,0.1814419159533922
2003,Upper-middle,Central Africa,0.10212222482544209
2003,Upper-middle,Northern Africa,0.11480537921544087
2003,Upper-middle,Southern Africa,0.4098468798137338
2004,High,Eastern Africa,0.0
2004,Low,Eastern Africa,0.1816421687156009
2004,Low,Central Africa,0.010162339824252298
2004,Low,Northern Africa,0.0
2004,Low,Southern Africa,0.1166981150964097
2004,Low,Western Africa,0.18728514314832823
2004,Lower-middle,Eastern Africa,0.1453529497002226
2004,Lower-middle,Central Africa,0.1562207232825985
2004,Lower-middle,Northern Africa,0.1005433261777322
2004,Lower-middle,Southern Africa,0.19574374620911872
2004,Lower-middle,Western Africa,0.19222900353109873
2004,Upper-middle,Central Africa,0.09311816927591887
2004,Upper-middle,Northern Africa,0.06731449271734546
2004,Upper-middle,Southern Africa,0.41313438787329915
2005,High,Eastern Africa,0.0
2005,Low,Eastern Africa,0.18062901102025952
2005,Low,Central Africa,0.020857325603275134
2005,Low,Northern Africa,0.0
2005,Low,Southern Africa,0.07513805214921443
2005,Low,Western Africa,0.18354650949752638
2005,Lower-middle,Eastern Africa,0.18032845053067903
2005,Lower-middle,Central Africa,0.17090584668581688
2005,Lower-middle,Northern Africa,0.08563867399219127
2005,Lower-middle,Southern Africa,0.20582349613609896
2005,Lower-middle,Western Africa,0.22821371153365688
2005,Upper-middle,Central Africa,0.06559741031319977
2005,Upper-middle,Northern Africa,0.05716478069104647
2005,Upper-middle,Southern Africa,0.4465640787295071
2006,High,Eastern Africa,0.0
2006,Low,Eastern Africa,0.21603754827501098
2006,Low,Central Africa,0.052569215372640477
2006,Low,Northern Africa,0.0
2006,Low,Southern Africa,0.08819877603376058
2006,Low,Western Africa,0.18358162401876976
2006,Lower-middle,Eastern Africa,0.24087460160774432
2006,Lower-middle,Central Africa,0.14096368524352232
2006,Lower-middle,Northern Africa,0.08491660601840212
2006,Lower-middle,Southern Africa,0.14959013613134742
2006,Lower-middle,Western Africa,0.2072709049337007
2006,Upper-middle,Central Africa,0.04486905999614543
2006,Upper-middle,Northern Africa,0.043182520857086626
2006,Upper-middle,Southern Africa,0.4659355415236526
2007,High,Eastern Africa,0.0
2007,Low,Eastern Africa,0.20485846821192455
2007,Low,Central Africa,0.06634807771937812
2007,Low,Northern Africa,0.0
2007,Low,Southern Africa,0.006409843313210928
2007,Low,Western Africa,0.19899363583752905
2007,Lower-middle,Eastern Africa,0.23497418620499722
2007,Lower-middle,Central Africa,0.16758973024438406
2007,Lower-middle,Northern Africa,0.0780281012994537
2007,Lower-middle,Southern Africa,0.13848490867652652
2007,Lower-middle,Western Africa,0.1824229734293863
2007,Upper-middle,Central Africa,0.04507338084355417
2007,Upper-middle,Northern Africa,0.04350109048699213
2007,Upper-middle,Southern Africa,0.4953554322555562
2008,High,Eastern Africa,0.0
2008,Low,Eastern Africa,0.1752302097283709
2008,Low,Central Africa,0.042762169887220036
2008,Low,Northern Africa,0.0
2008,Low,Southern Africa,0.019308123688231316
2008,Low,Western Africa,0.20356703625685557
2008,Lower-middle,Eastern Africa,0.23591110491908984
2008,Lower-middle,Central Africa,0.2061586544707863
2008,Lower-middle,Northern Africa,0.06940140878887613
2008,Lower-middle,Southern Africa,0.11945326315605587
2008,Lower-middle,Western Africa,0.1812034261731965
2008,Upper-middle,Central Africa,0.014848708580604164
2008,Upper-middle,Northern Africa,0.052374959853529246
2008,Upper-middle,Southern Africa,0.5141490169702778
2009,High,Eastern Africa,0.0
2009,Low,Eastern Africa,0.14106156376407775
2009,Low,Central Africa,0.07606524221235134
2009,Low,Northern Africa,0.0
2009,Low,Southern Africa,0.07697304270633754
2009,Low,Western Africa,0.18242508316794415
2009,Lower-middle,Eastern Africa,0.2485675911016927
2009,Lower-middle,Central Africa,0.21295201426160593
2009,Lower-middle,Northern Africa,0.07568517677615305
2009,Lower-middle,Southern Africa,0.11894503895703767
2009,Lower-middle,Western Africa,0.19573043706497195
2009,Upper-middle,Central Africa,0.013134850984090063
2009,Upper-middle,Northern Africa,0.031179473229348442
2009,Upper-middle,Southern Africa,0.4995966805032408
2010,High,Eastern Africa,0.0
2010,Low,Eastern Africa,0.16864206342034938
2010,Low,Central Africa,0.03172292970462931
2010,Low,Northern Africa,0.0
2010,Low,Southern Africa,0.10575490912014973
2010,Low,Western Africa,0.16384629105298054
2010,Lower-middle,Eastern Africa,0.24218320979474872
2010,Lower-middle,Central Africa,0.233196014798273
2010,Lower-middle,Northern Africa,0.07691866610334208
2010,Lower-middle,Southern Africa,0.22439463232157597
2010,Lower-middle,Western Africa,0.18358254281193132
2010,Upper-middle,Central Africa,0.19478954503195478
2010,Upper-middle,Northern Africa,0.009270020843097804
2010,Upper-middle,Southern Africa,0.4826188315903952
2011,High,Eastern Africa,0.0
2011,Low,Eastern Africa,0.1857358101968598
2011,Low,Central Africa,0.00915848954359788
2011,Low,Northern Africa,0.0
2011,Low,Southern Africa,0.07149029144831842
2011,Low,Western Africa,0.17880001689891833
2011,Lower-middle,Eastern Africa,0.20798574319663232
2011,Lower-middle,Central Africa,0.22723495837664798
2011,Lower-middle,Northern Africa,0.07088260368790844
2011,Lower-middle,Southern Africa,0.2485679875343776
2011,Lower-middle,Western Africa,0.176639702475065
2011,Upper-middle,Central Africa,0.17164787481613475
2011,Upper-middle,Northern Africa,0.06813278712264559
2011,Upper-middle,Southern Africa,0.49204374897459036
2012,High,Eastern Africa,0.0
2012,Low,Eastern Africa,0.2097837944280263
2012,Low,Central Africa,0.0057324237030123015
2012,Low,Northern Africa,0.0
2012,Low,Southern Africa,0.14834961623627896
2012,Low,Western Africa,0.1773863982496715
2012,Lower-middle,Eastern Africa,0.2411001291156476
2012,Lower-middle,Central Africa,0.28588677636301685
2012,Lower-middle,Northern Africa,0.07427258789806168
2012,Lower-middle,Southern Africa,0.23282047437396702
2012,Lower-middle,Western Africa,0.172143248238809
2012,Upper-middle,Central Africa,0.15577180658312795
2012,Upper-middle,Northern Africa,0.010416318338648756
2012,Upper-middle,Southern Africa,0.4909513972047641
2013,High,Eastern Africa,0.0
2013,Low,Eastern Africa,0.17187542554355661
2013,Low,Central Africa,0.06449791477200084
2013,Low,Northern Africa,0.0
2013,Low,Southern Africa,0.04452487347448164
2013,Low,Western Africa,0.18058632849130363
2013,Lower-middle,Eastern Africa,0.23584309870067344
2013,Lower-middle,Central Africa,0.32267880552385164
2013,Lower-middle,Northern Africa,0.07300090016710215
2013,Lower-middle,Southern Africa,0.22040428400114864
2013,Lower-middle,Western Africa,0.163013980767573
2013,Upper-middle,Central Africa,0.18857254340630836
2013,Upper-middle,Northern Africa,0.02445913172028913
2013,Upper-middle,Southern Africa,0.5086605272641425
2014,High,Eastern Africa,0.0
2014,Low,Eastern Africa,0.16045052071424903
2014,Low,Central Africa,0.04529922979861034
2014,Low,Northern Africa,0.0
2014,Low,Southern Africa,0.06023350268501937
2014,Low,Western Africa,0.14418332086597752
2014,Lower-middle,Eastern Africa,0.22982060136026727
2014,Lower-middle,Central Africa,0.3121353802908735
2014,Lower-middle,Northern Africa,0.06962158599631674
2014,Lower-middle,Southern Africa,0.193482431528593
2014,Lower-middle,Western Africa,0.13896326659963476
2014,Upper-middle,Central Africa,0.1944114280099849
2014,Upper-middle,Northern Africa,0.04070125587124762
2014,Upper-middle,Southern Africa,0.5202845532943776
2015,High,Eastern Africa,0.0
2015,Low,Eastern Africa,0.14572181453719835
2015,Low,Central Africa,0.03766548501166689
2015,Low,Northern Africa,0.0
2015,Low,Southern Africa,0.0062847826905032544
2015,Low,Western Africa,0.18263657708979375
2015,Lower-middle,Eastern Africa,0.28776425830474683
2015,Lower-middle,Central Africa,0.3151246682915112
2015,Lower-middle,Northern Africa,0.075163365636578
2015,Lower-middle,Southern Africa,0.24325156449120833
2015,Lower-middle,Western Africa,0.1490228974111456
2015,Upper-middle,Central Africa,0.22457134717100313
2015,Upper-middle,Northern Africa,0.004310775895327579
2015,Upper-middle,Southern Africa,0.5269907403324503
2016,High,Eastern Africa,0.0
2016,Low,Eastern Africa,0.20768993270464287
2016,Low,Central Africa,0.0002876518977337206
2016,Low,Northern Africa,0.0
2016,Low,Southern Africa,0.04086134707077993
2016,Low,Western Africa,0.1568195848178282
2016,Lower-middle,Eastern Africa,0.26521369432030095
2016,Lower-middle,Central Africa,0.3013826049609225
2016,Lower-middle,Northern Africa,0.07944849850298596
2016,Lower-middle,Southern Africa,0.2509924940670545
2016,Lower-middle,Western Africa,0.1513494813098688
2016,Upper-middle,Central Africa,0.2539219949806819
2016,Upper-middle,Northern Africa,0.003060321597293303
2016,Upper-middle,Southern Africa,0.5252235452629253
2017,High,Eastern Africa,0.0
2017,Low,Eastern Africa,0.17930116136801955
2017,Low,Central Africa,0.014890436232449566
2017,Low,Northern Africa,0.0
2017,Low,Southern Africa,0.06722211259542843
2017,Low,Western Africa,0.16715496785625117
2017,Lower-middle,Eastern Africa,0.24268902759924882
2017,Lower-middle,Central Africa,0.3059575435120139
2017,Lower-middle,Northern Africa,0.06752226692013696
2017,Lower-middle,Southern Africa,0.2572408757331863
2017,Lower-middle,Western Africa,0.20038568772729914
2017,Upper-middle,Central Africa,0.2372801250135157
2017,Upper-middle,Northern Africa,0.0011489143154841397
2017,Upper-middle,Southern Africa,0.5278039765582756
2018,High,Eastern Africa,0.0
2018,Low,Eastern Africa,0.1811749183856557
2018,Low,Central Africa,0.10704202746008318
2018,Low,Northern Africa,0.0
2018,Low,Southern Africa,0.07852187278617984
2018,Low,Western Africa,0.1907207385603391
2018,Lower-middle,Eastern Africa,0.2582874507711599
2018,Lower-middle,Central Africa,0.2720174020496158
2018,Lower-middle,Northern Africa,0.09785779577917131
2018,Lower-middle,Southern Africa,0.2963929651755548
2018,Lower-middle,Western Africa,0.18785693508620738
2018,Upper-middle,Central Africa,0.2520293846775514
2018,Upper-middle,Northern Africa,0.044535859575587367
2018,Upper-middle,Southern Africa,0.4850245192563434
2019,High,Eastern Africa,0.0
2019,Low,Eastern Africa,0.1626744023063218
2019,Low,Central Africa,0.01265536528932687
2019,Low,Northern Africa,0.0
2019,Low,Southern Africa,0.04971583758674569
2019,Low,Western Africa,0.19561594197122645
