year,income,Subregion,pct_tax_above_50th,pct_tax_above_75th,pct_health_gdp_above_50th,pct_health_gdp_above_75th
2000,Low,Eastern Africa,28.57142857142857,14.285714285714285,71.42857142857143,28.57142857142857
2000,Low,Middle Africa,0.0,0.0,100.0,0.0
2000,Low,Northern Africa,0.0,0.0,0.0,0.0
2000,Low,Southern Africa,0.0,0.0,0.0,0.0
2000,Low,Western Africa,25.0,0.0,75.0,37.5
2000,Lower-middle,Eastern Africa,50.0,0.0,25.0,25.0
2000,Lower-middle,Middle Africa,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333
2000,Lower-middle,Northern Africa,75.0,50.0,50.0,50.0
2000,Lower-middle,Southern Africa,75.0,50.0,75.0,25.0
2000,Lower-middle,Western Africa,28.57142857142857,0.0,14.285714285714285,0.0
2000,Upper-middle,Eastern Africa,100.0,100.0,100.0,0.0
2000,Upper-middle,Middle Africa,50.0,50.0,0.0,0.0
2000,Upper-middle,Northern Africa,50.0,0.0,0.0,0.0
2000,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2001,Low,Eastern Africa,42.857142857142854,14.285714285714285,71.42857142857143,42.857142857142854
2001,Low,Middle Africa,0.0,0.0,100.0,0.0
2001,Low,Northern Africa,0.0,0.0,0.0,0.0
2001,Low,Southern Africa,0.0,0.0,0.0,0.0
2001,Low,Western Africa,12.5,0.0,62.5,25.0
2001,Lower-middle,Eastern Africa,50.0,25.0,50.0,25.0
2001,Lower-middle,Middle Africa,66.66666666666666,0.0,66.66666666666666,33.33333333333333
2001,Lower-middle,Northern Africa,75.0,50.0,50.0,25.0
2001,Lower-middle,Southern Africa,75.0,50.0,75.0,50.0
2001,Lower-middle,Western Africa,28.57142857142857,0.0,14.285714285714285,0.0
2001,Upper-middle,Eastern Africa,100.0,100.0,100.0,0.0
2001,Upper-middle,Middle Africa,50.0,50.0,0.0,0.0
2001,Upper-middle,Northern Africa,50.0,0.0,0.0,0.0
2001,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2002,Low,Eastern Africa,57.14285714285714,14.285714285714285,71.42857142857143,14.285714285714285
2002,Low,Middle Africa,0.0,0.0,100.0,50.0
2002,Low,Northern Africa,0.0,0.0,0.0,0.0
2002,Low,Southern Africa,0.0,0.0,0.0,0.0
2002,Low,Western Africa,12.5,0.0,62.5,25.0
2002,Lower-middle,Eastern Africa,50.0,25.0,50.0,25.0
2002,Lower-middle,Middle Africa,66.66666666666666,0.0,33.33333333333333,33.33333333333333
2002,Lower-middle,Northern Africa,75.0,50.0,50.0,25.0
2002,Lower-middle,Southern Africa,75.0,50.0,75.0,75.0
2002,Lower-middle,Western Africa,28.57142857142857,0.0,14.285714285714285,0.0
2002,Upper-middle,Eastern Africa,100.0,100.0,100.0,0.0
2002,Upper-middle,Middle Africa,100.0,50.0,0.0,0.0
2002,Upper-middle,Northern Africa,0.0,0.0,50.0,0.0
2002,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2003,Low,Eastern Africa,57.14285714285714,14.285714285714285,85.71428571428571,42.857142857142854
2003,Low,Middle Africa,0.0,0.0,0.0,0.0
2003,Low,Northern Africa,0.0,0.0,0.0,0.0
2003,Low,Southern Africa,0.0,0.0,0.0,0.0
2003,Low,Western Africa,25.0,0.0,62.5,12.5
2003,Lower-middle,Eastern Africa,50.0,25.0,50.0,50.0
2003,Lower-middle,Middle Africa,66.66666666666666,0.0,33.33333333333333,33.33333333333333
2003,Lower-middle,Northern Africa,75.0,50.0,50.0,0.0
2003,Lower-middle,Southern Africa,75.0,75.0,75.0,75.0
2003,Lower-middle,Western Africa,42.857142857142854,0.0,42.857142857142854,0.0
2003,Upper-middle,Eastern Africa,100.0,100.0,100.0,0.0
2003,Upper-middle,Middle Africa,50.0,50.0,0.0,0.0
2003,Upper-middle,Northern Africa,0.0,0.0,0.0,0.0
2003,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2004,Low,Eastern Africa,57.14285714285714,14.285714285714285,71.42857142857143,42.857142857142854
2004,Low,Middle Africa,0.0,0.0,0.0,0.0
