year,income,Subregion,avg_mmr
2000,Low,Eastern Africa,722.3004755714285
2000,Low,Central Africa,1348.76465
2000,Low,Northern Africa,645.4822854
2000,Low,Southern Africa,515.8815941
2000,Low,Western Africa,887.56496005
2000,Lower-middle,Eastern Africa,497.495416125
2000,Lower-middle,Central Africa,455.8965654333333
2000,Lower-middle,Northern Africa,256.02018078
2000,Lower-middle,Southern Africa,443.218114025
2000,Lower-middle,Western Africa,593.9886126142857
2000,Upper-middle,Eastern Africa,44.59895554
2000,Upper-middle,Central Africa,291.868557
2000,Upper-middle,Northern Africa,96.80381673
2000,Upper-middle,Southern Africa,184.323848075
2001,Low,Eastern Africa,673.5233005142857
2001,Low,Central Africa,1354.1521555
2001,Low,Northern Africa,615.8055394
2001,Low,Southern Africa,448.5973792
2001,Low,Western Africa,847.6429979625
2001,Lower-middle,Eastern Africa,451.89763525
2001,Lower-middle,Central Africa,446.5807826333333
2001,Lower-middle,Northern Africa,243.76278242749999
2001,Lower-middle,Southern Africa,426.39811292499996
2001,Lower-middle,Western Africa,590.4684748999999
2001,Upper-middle,Eastern Africa,42.9407638
2001,Upper-middle,Central Africa,273.78802874999997
2001,Upper-middle,Northern Africa,92.029823225
2001,Upper-middle,Southern Africa,187.0704201825
2002,Low,Eastern Africa,641.8116788428571
2002,Low,Central Africa,1347.3565565
2002,Low,Northern Africa,588.3703647
2002,Low,Southern Africa,389.587679
2002,Low,Western Africa,818.053962
2002,Lower-middle,Eastern Africa,430.31573257499997
2002,Lower-middle,Central Africa,433.7560647
2002,Lower-middle,Northern Africa,232.0947900375
2002,Lower-middle,Southern Africa,422.870894925
2002,Lower-middle,Western Africa,578.8778468242857
2002,Upper-middle,Eastern Africa,45.19913739
2002,Upper-middle,Central Africa,257.5979085
2002,Upper-middle,Northern Africa,85.76850547999999
2002,Upper-middle,Southern Africa,180.05791356999998
2003,Low,Eastern Africa,601.5369999857143
2003,Low,Central Africa,1328.71835
2003,Low,Northern Africa,592.7384631
2003,Low,Southern Africa,341.8889115
2003,Low,Western Africa,795.5362051625001
2003,Lower-middle,Eastern Africa,404.0606649
2003,Lower-middle,Central Africa,419.5981044333333
2003,Lower-middle,Northern Africa,223.18973895749997
2003,Lower-middle,Southern Africa,422.0727652
2003,Lower-middle,Western Africa,568.7895995357143
2003,Upper-middle,Eastern Africa,47.3250849
2003,Upper-middle,Central Africa,238.36808704999999
2003,Upper-middle,Northern Africa,84.552370935
2003,Upper-middle,Southern Africa,179.84126592500002
2004,Low,Eastern Africa,577.7883666571428
2004,Low,Central Africa,1308.3088205
2004,Low,Northern Africa,535.5381268
2004,Low,Southern Africa,301.93695145000004
2004,Low,Western Africa,750.3515374625
2004,Lower-middle,Eastern Africa,384.9921432
2004,Lower-middle,Central Africa,403.55715346666665
2004,Lower-middle,Northern Africa,216.03584408999998
2004,Lower-middle,Southern Africa,427.000426575
2004,Lower-middle,Western Africa,559.1021548085714
2004,Upper-middle,Eastern Africa,52.37139754
2004,Upper-middle,Central Africa,232.64519065000002
2004,Upper-middle,Northern Africa,78.750846665
2004,Upper-middle,Southern Africa,183.8106391325
2005,Low,Eastern Africa,577.2072928285714
2005,Low,Central Africa,1288.6833815
2005,Low,Northern Africa,505.4449666
2005,Low,Southern Africa,281.3720841
2005,Low,Western Africa,727.346273375
2005,Lower-middle,Eastern Africa,367.9012158
2005,Lower-middle,Central Africa,398.22774933333335
2005,Lower-middle,Northern Africa,205.64118347250002
2005,Lower-middle,Southern Africa,450.9840182
2005,Lower-middle,Western Africa,551.6945899357142
2005,Upper-middle,Eastern Africa,50.07729914
2005,Upper-middle,Central Africa,243.68254919999998
2005,Upper-middle,Northern Africa,76.566647935
2005,Upper-middle,Southern Africa,208.040553435
2006,Low,Eastern Africa,571.8271487142857
2006,Low,Central Africa,1278.41353
2006,Low,Northern Africa,485.4225151
2006,Low,Southern Africa,279.97953440000003
2006,Low,Western Africa,693.5620309625
2006,Lower-middle,Eastern Africa,368.345608075
2006,Lower-middle,Central Africa,395.26069540000003
2006,Lower-middle,Northern Africa,197.62742239
2006,Lower-middle,Southern Africa,476.70873625
2006,Lower-middle,Western Africa,552.5949083385715
2006,Upper-middle,Eastern Africa,51.43553517
2006,Upper-middle,Central Africa,242.33895934999998
2006,Upper-middle,Northern Africa,75.402775355
2006,Upper-middle,Southern Africa,234.9633772725
