year,income,Subregion,avg_nmr
2000,Low,Eastern Africa,36.65714285714286
2000,Low,Central Africa,43.5
2000,Low,Northern Africa,36.9
2000,Low,Southern Africa,41.45
2000,Low,Western Africa,45.625
2000,Lower-middle,Eastern Africa,34.325
2000,Lower-middle,Central Africa,29.5
2000,Lower-middle,Northern Africa,26.775
2000,Lower-middle,Southern Africa,36.7
2000,Lower-middle,Western Africa,37.614285714285714
2000,Upper-middle,Eastern Africa,8.7
2000,Upper-middle,Central Africa,36.400000000000006
2000,Upper-middle,Northern Africa,18.9
2000,Upper-middle,Southern Africa,14.475
2001,Low,Eastern Africa,35.642857142857146
2001,Low,Central Africa,42.7
2001,Low,Northern Africa,36.2
2001,Low,Southern Africa,39.150000000000006
2001,Low,Western Africa,44.475
2001,Lower-middle,Eastern Africa,33.7
2001,Lower-middle,Central Africa,28.899999999999995
2001,Lower-middle,Northern Africa,25.75
2001,Lower-middle,Southern Africa,36.275
2001,Lower-middle,Western Africa,36.58571428571429
2001,Upper-middle,Eastern Africa,8.7
2001,Upper-middle,Central Africa,36.4
2001,Upper-middle,Northern Africa,18.5
2001,Upper-middle,Southern Africa,13.850000000000001
2002,Low,Eastern Africa,34.67142857142857
2002,Low,Central Africa,41.95
2002,Low,Northern Africa,35.5
2002,Low,Southern Africa,37.0
2002,Low,Western Africa,43.35
2002,Lower-middle,Eastern Africa,32.975
2002,Lower-middle,Central Africa,28.266666666666666
2002,Lower-middle,Northern Africa,24.825
2002,Lower-middle,Southern Africa,35.675
2002,Lower-middle,Western Africa,35.67142857142857
2002,Upper-middle,Eastern Africa,8.7
2002,Upper-middle,Central Africa,36.2
2002,Upper-middle,Northern Africa,18.049999999999997
2002,Upper-middle,Southern Africa,13.5
2003,Low,Eastern Africa,33.7
2003,Low,Central Africa,41.2
2003,Low,Northern Africa,34.8
2003,Low,Southern Africa,34.9
2003,Low,Western Africa,42.3125
2003,Lower-middle,Eastern Africa,32.35
2003,Lower-middle,Central Africa,27.666666666666668
2003,Lower-middle,Northern Africa,23.925
2003,Lower-middle,Southern Africa,35.0
2003,Lower-middle,Western Africa,34.857142857142854
2003,Upper-middle,Eastern Africa,8.7
2003,Upper-middle,Central Africa,35.85
2003,Upper-middle,Northern Africa,17.6
2003,Upper-middle,Southern Africa,13.55
2004,Low,Eastern Africa,32.8
2004,Low,Central Africa,40.45
2004,Low,Northern Africa,34.4
2004,Low,Southern Africa,33.1
2004,Low,Western Africa,41.2625
2004,Lower-middle,Eastern Africa,31.7
2004,Lower-middle,Central Africa,27.0
2004,Lower-middle,Northern Africa,23.075
2004,Lower-middle,Southern Africa,34.325
2004,Lower-middle,Western Africa,34.142857142857146
2004,Upper-middle,Eastern Africa,8.7
2004,Upper-middle,Central Africa,35.3
2004,Upper-middle,Northern Africa,17.0
2004,Upper-middle,Southern Africa,13.825
2005,Low,Eastern Africa,31.9
2005,Low,Central Africa,39.75
2005,Low,Northern Africa,33.8
2005,Low,Southern Africa,31.7
2005,Low,Western Africa,40.2875
2005,Lower-middle,Eastern Africa,31.1
2005,Lower-middle,Central Africa,26.333333333333332
2005,Lower-middle,Northern Africa,22.225
2005,Lower-middle,Southern Africa,33.65
2005,Lower-middle,Western Africa,33.5
2005,Upper-middle,Eastern Africa,8.7
2005,Upper-middle,Central Africa,34.55
2005,Upper-middle,Northern Africa,16.35
2005,Upper-middle,Southern Africa,14.350000000000001
2006,Low,Eastern Africa,31.042857142857144
2006,Low,Central Africa,39.15
2006,Low,Northern Africa,33.0
2006,Low,Southern Africa,30.65
2006,Low,Western Africa,39.3375
2006,Lower-middle,Eastern Africa,30.549999999999997
2006,Lower-middle,Central Africa,25.7
2006,Lower-middle,Northern Africa,21.4
2006,Lower-middle,Southern Africa,33.075
2006,Lower-middle,Western Africa,32.92857142857143
2006,Upper-middle,Eastern Africa,8.7
2006,Upper-middle,Central Africa,33.6
2006,Upper-middle,Northern Africa,15.7
2006,Upper-middle,Southern Africa,14.975
2007,Low,Eastern Africa,30.185714285714287
2007,Low,Central Africa,38.5
2007,Low,Northern Africa,32.6
2007,Low,Southern Africa,29.85
2007,Low,Western Africa,38.3875
2007,Lower-middle,Eastern Africa,30.0
2007,Lower-middle,Central Africa,25.133333333333336
2007,Lower-middle,Northern Africa,20.65
2007,Lower-middle,Southern Africa,32.5
2007,Lower-middle,Western Africa,32.385714285714286
2007,Upper-middle,Eastern Africa,8.7
2007,Upper-middle,Central Africa,32.599999999999994
2007,Upper-middle,Northern Africa,15.05
2007,Upper-middle,Southern Africa,15.5
2008,Low,Eastern Africa,29.37142857142857
2008,Low,Central Africa,38.05
2008,Low,Northern Africa,32.2
2008,Low,Southern Africa,29.25
2008,Low,Western Africa,37.475
2008,Lower-middle,Eastern Africa,29.525
2008,Lower-middle,Central Africa,24.566666666666666
2008,Lower-middle,Northern Africa,19.9
2008,Lower-middle,Southern Africa,32.0
2008,Lower-middle,Western Africa,31.900000000000002
2008,Upper-middle,Eastern Africa,8.7
2008,Upper-middle,Central Africa,31.5
2008,Upper-middle,Northern Africa,14.350000000000001
2008,Upper-middle,Southern Africa,15.925
2009,Low,Eastern Africa,28.557142857142857
2009,Low,Central Africa,40.5
2009,Low,Northern Africa,31.8
2009,Low,Southern Africa,28.5
2009,Low,Western Africa,36.6125
2009,Lower-middle,Eastern Africa,29.075
2009,Lower-middle,Central Africa,24.066666666666666
2009,Lower-middle,Northern Africa,19.2
2009,Lower-middle,Southern Africa,31.45
2009,Lower-middle,Western Africa,31.342857142857145
2009,Upper-middle,Eastern Africa,8.7
2009,Upper-middle,Central Africa,30.5
2009,Upper-middle,Northern Africa,13.85
2009,Upper-middle,Southern Africa,16.375
2010,Low,Eastern Africa,27.8
2010,Low,Central Africa,37.25
2010,Low,Northern Africa,31.4
2010,Low,Southern Africa,27.799999999999997
2010,Low,Western Africa,35.825
2010,Lower-middle,Eastern Africa,28.625
2010,Lower-middle,Central Africa,23.53333333333333
2010,Lower-middle,Northern Africa,18.6
2010,Lower-middle,Southern Africa,30.640000000000004
2010,Lower-middle,Western Africa,30.814285714285713
2010,Upper-middle,Eastern Africa,8.8
2010,Upper-middle,Central Africa,29.700000000000003
2010,Upper-middle,Northern Africa,13.399999999999999
2010,Upper-middle,Southern Africa,16.75
2011,Low,Eastern Africa,27.1
2011,Low,Central Africa,36.6
2011,Low,Northern Africa,31.0
2011,Low,Southern Africa,27.049999999999997
2011,Low,Western Africa,35.125
2011,Lower-middle,Eastern Africa,28.200000000000003
2011,Lower-middle,Central Africa,22.96666666666667
2011,Lower-middle,Northern Africa,18.025
2011,Lower-middle,Southern Africa,30.119999999999997
2011,Lower-middle,Western Africa,30.285714285714285
2011,Upper-middle,Eastern Africa,8.8
2011,Upper-middle,Central Africa,28.95
2011,Upper-middle,Northern Africa,13.05
2011,Upper-middle,Southern Africa,17.1
2012,Low,Eastern Africa,26.400000000000002
2012,Low,Central Africa,36.25
2012,Low,Northern Africa,30.6
2012,Low,Southern Africa,26.35
2012,Low,Western Africa,34.4875
2012,Lower-middle,Eastern Africa,27.775
2012,Lower-middle,Central Africa,22.366666666666664
2012,Lower-middle,Northern Africa,17.525
2012,Lower-middle,Southern Africa,29.580000000000002
2012,Lower-middle,Western Africa,29.75714285714286
2012,Upper-middle,Eastern Africa,8.8
2012,Upper-middle,Central Africa,28.3
2012,Upper-middle,Northern Africa,12.600000000000001
2012,Upper-middle,Southern Africa,17.425
2013,Low,Eastern Africa,27.775000000000002
2013,Low,Central Africa,35.95
2013,Low,Northern Africa,30.2
2013,Low,Southern Africa,25.700000000000003
2013,Low,Western Africa,33.925
2013,Lower-middle,Eastern Africa,27.425
2013,Lower-middle,Central Africa,21.766666666666666
2013,Lower-middle,Northern Africa,17.0
2013,Lower-middle,Southern Africa,29.139999999999997
2013,Lower-middle,Western Africa,29.25714285714286
2013,Upper-middle,Eastern Africa,8.8
2013,Upper-middle,Central Africa,27.8
2013,Upper-middle,Northern Africa,12.049999999999999
2013,Upper-middle,Southern Africa,17.65
2014,Low,Eastern Africa,27.2
2014,Low,Central Africa,35.95
2014,Low,Northern Africa,29.7
2014,Low,Southern Africa,25.1
2014,Low,Western Africa,33.375
2014,Lower-middle,Eastern Africa,27.1
2014,Lower-middle,Central Africa,21.099999999999998
2014,Lower-middle,Northern Africa,16.575
2014,Lower-middle,Southern Africa,28.72
2014,Lower-middle,Western Africa,28.814285714285713
2014,Upper-middle,Eastern Africa,8.8
2014,Upper-middle,Central Africa,27.25
2014,Upper-middle,Northern Africa,11.5
2014,Upper-middle,Southern Africa,17.825
2015,Low,Eastern Africa,26.6625
2015,Low,Central Africa,34.95
2015,Low,Northern Africa,29.1
2015,Low,Southern Africa,24.7
2015,Low,Western Africa,32.85
2015,Lower-middle,Eastern Africa,26.725
2015,Lower-middle,Central Africa,20.5
2015,Lower-middle,Northern Africa,16.1
2015,Lower-middle,Southern Africa,28.32
2015,Lower-middle,Western Africa,28.385714285714283
2015,Upper-middle,Eastern Africa,8.9
2015,Upper-middle,Central Africa,26.700000000000003
2015,Upper-middle,Northern Africa,11.149999999999999
2015,Upper-middle,Southern Africa,17.925
2016,Low,Eastern Africa,26.1125
2016,Low,Central Africa,34.650000000000006
2016,Low,Northern Africa,28.5
2016,Low,Southern Africa,24.4
2016,Low,Western Africa,32.35
2016,Lower-middle,Eastern Africa,26.4
2016,Lower-middle,Central Africa,19.866666666666667
