year,income,Subregion,avg_public_health_gap
2000,Low,Eastern Africa,109.03003968428571
2000,Low,Central Africa,108.13828734500001
2000,Low,Northern Africa,107.26626106
2000,Low,Southern Africa,108.31369815
2000,Low,Western Africa,109.641538995
2000,Lower-middle,Eastern Africa,138.74807177
2000,Lower-middle,Central Africa,136.26195769666666
2000,Lower-middle,Northern Africa,121.01660331000002
2000,Lower-middle,Southern Africa,129.35787759500005
2000,Lower-middle,Western Africa,136.0509158271429
2000,Upper-middle,Eastern Africa,197.62566753
2000,Upper-middle,Central Africa,450.13154652000003
2000,Upper-middle,Northern Africa,394.55937566000046
2000,Upper-middle,Southern Africa,381.9091306675
2001,Low,Eastern Africa,108.98519513
2001,Low,Central Africa,108.229015485
2001,Low,Northern Africa,106.93875871
2001,Low,Southern Africa,108.49332885999999
2001,Low,Western Africa,109.64355078875
2001,Lower-middle,Eastern Africa,139.2601655875
2001,Lower-middle,Central Africa,135.10548933666666
2001,Lower-middle,Northern Africa,120.64813126250003
2001,Lower-middle,Southern Africa,128.14491238750003
2001,Lower-middle,Western Africa,134.9093877
2001,Upper-middle,Eastern Africa,200.556372
2001,Upper-middle,Central Africa,448.40384282
2001,Upper-middle,Northern Africa,381.779729385
2001,Upper-middle,Southern Africa,388.7193550525
2002,Low,Eastern Africa,108.96563741285715
2002,Low,Central Africa,107.634201685
2002,Low,Northern Africa,106.2860871
2002,Low,Southern Africa,108.134973985
2002,Low,Western Africa,109.5498772075
2002,Lower-middle,Eastern Africa,137.9604362
2002,Lower-middle,Central Africa,135.50802233666664
2002,Lower-middle,Northern Africa,118.7071375
2002,Lower-middle,Southern Africa,129.90629577
2002,Lower-middle,Western Africa,134.4441411814286
2002,Upper-middle,Eastern Africa,181.56911805
2002,Upper-middle,Central Africa,448.53698986500007
2002,Upper-middle,Northern Africa,391.10265439500006
2002,Upper-middle,Southern Africa,388.3483510900005
2003,Low,Eastern Africa,108.09747594142857
2003,Low,Central Africa,106.91968903
2003,Low,Northern Africa,104.66878819000001
2003,Low,Southern Africa,107.82540621500002
2003,Low,Western Africa,109.22367753500001
2003,Lower-middle,Eastern Africa,136.6714232975
2003,Lower-middle,Central Africa,128.76573081000004
2003,Lower-middle,Northern Africa,116.67357085750005
2003,Lower-middle,Southern Africa,121.00083739750002
2003,Lower-middle,Western Africa,130.98179686
2003,Upper-middle,Eastern Africa,140.86266766
2003,Upper-middle,Central Africa,434.4312878300001
2003,Upper-middle,Northern Africa,385.032577095
2003,Upper-middle,Southern Africa,350.81385548750023
2004,Low,Eastern Africa,108.17563467142858
2004,Low,Central Africa,104.85436247
2004,Low,Northern Africa,100.9083780700001
2004,Low,Southern Africa,108.07587655
2004,Low,Western Africa,108.19209399125
2004,Lower-middle,Eastern Africa,136.02491409750002
2004,Lower-middle,Central Africa,129.79752288666666
2004,Lower-middle,Northern Africa,113.58359727750005
2004,Lower-middle,Southern Africa,113.46874970500002
2004,Lower-middle,Western Africa,129.02626285142858
2004,Upper-middle,Eastern Africa,114.00506490999999
2004,Upper-middle,Central Africa,428.186098055
2004,Upper-middle,Northern Africa,377.87057367
2004,Upper-middle,Southern Africa,325.47000802000025
2005,Low,Eastern Africa,108.47343567142858
2005,Low,Central Africa,105.67450829
2005,Low,Northern Africa,97.51447984
2005,Low,Southern Africa,106.77537645000001
2005,Low,Western Africa,107.938067985
2005,Lower-middle,Eastern Africa,135.3479347
2005,Lower-middle,Central Africa,127.94297170666665
2005,Lower-middle,Northern Africa,111.44739122500003
2005,Lower-middle,Southern Africa,105.8299652975
2005,Lower-middle,Western Africa,127.18255356571429
2005,Upper-middle,Eastern Africa,104.26315425000001
2005,Upper-middle,Central Africa,425.586023765
2005,Upper-middle,Northern Africa,374.217939665
2005,Upper-middle,Southern Africa,326.7725109100005
2006,Low,Eastern Africa,108.35079576714286
2006,Low,Central Africa,106.379771695
2006,Low,Northern Africa,91.87180751
2006,Low,Southern Africa,107.37427006000001
2006,Low,Western Africa,107.6752434725
2006,Lower-middle,Eastern Africa,133.56213757250003
2006,Lower-middle,Central Africa,138.06096646333333
2006,Lower-middle,Northern Africa,106.6062114225
2006,Lower-middle,Southern Africa,99.80304893000002
2006,Lower-middle,Western Africa,125.2955819157143
2006,Upper-middle,Eastern Africa,89.74413007999999
2006,Upper-middle,Central Africa,412.649221055
2006,Upper-middle,Northern Africa,361.49803719
2006,Upper-middle,Southern Africa,319.37420315500077
2007,Low,Eastern Africa,107.15936161428571
2007,Low,Central Africa,105.48912959
2007,Low,Northern Africa,82.39837319
2007,Low,Southern Africa,107.33482972499999
2007,Low,Western Africa,107.5037814775
2007,Lower-middle,Eastern Africa,132.64750671000002
2007,Lower-middle,Central Africa,134.44375124666672
2007,Lower-middle,Northern Africa,100.13887734250002
2007,Lower-middle,Southern Africa,87.894590265
2007,Lower-middle,Western Africa,122.50688681999999
2007,Upper-middle,Eastern Africa,133.14690389999998
2007,Upper-middle,Central Africa,397.27356958000007
2007,Upper-middle,Northern Africa,334.665304965
2007,Upper-middle,Southern Africa,297.16453023000025
2008,Low,Eastern Africa,107.06907864285714
2008,Low,Central Africa,106.48975555500002
2008,Low,Northern Africa,85.54307116
2008,Low,Southern Africa,104.760996605
2008,Low,Western Africa,106.79395290375
2008,Lower-middle,Eastern Africa,130.10800995500003
2008,Lower-middle,Central Africa,128.47286551333335
2008,Lower-middle,Northern Africa,91.45175964250029
2008,Lower-middle,Southern Africa,75.36871297250002
2008,Lower-middle,Western Africa,121.84326630142857
2008,Upper-middle,Eastern Africa,225.88547114
2008,Upper-middle,Central Africa,381.31639891000054
2008,Upper-middle,Northern Africa,297.12618151000004
2008,Upper-middle,Southern Africa,295.85555793500026
2009,Low,Eastern Africa,106.92536035714286
2009,Low,Central Africa,106.6986604
2009,Low,Northern Africa,79.10525464
2009,Low,Southern Africa,105.31037286
2009,Low,Western Africa,106.29067711500001
2009,Lower-middle,Eastern Africa,130.9019160725
2009,Lower-middle,Central Africa,133.15892405333338
2009,Lower-middle,Northern Africa,88.84521576000003
2009,Lower-middle,Southern Africa,73.7543497725
2009,Lower-middle,Western Africa,120.84594724428574
2009,Upper-middle,Eastern Africa,260.95598641000004
2009,Upper-middle,Central Africa,369.3355596950005
2009,Upper-middle,Northern Africa,285.85744379000005
2009,Upper-middle,Southern Africa,298.6601261300005
2010,Low,Eastern Africa,105.90680907857144
2010,Low,Central Africa,106.92582704
2010,Low,Northern Africa,88.04402456
2010,Low,Southern Africa,105.17370176
2010,Low,Western Africa,105.92922949125
2010,Lower-middle,Eastern Africa,130.15500099
2010,Lower-middle,Central Africa,128.55651932333336
2010,Lower-middle,Northern Africa,87.23186783749999
2010,Lower-middle,Southern Africa,107.53583664
2010,Lower-middle,Western Africa,120.28363587714288
2010,Upper-middle,Eastern Africa,159.78196285
2010,Upper-middle,Central Africa,367.0056578650001
2010,Upper-middle,Northern Africa,264.71899128
2010,Upper-middle,Southern Africa,236.59600649000026
2011,Low,Eastern Africa,105.41597113428574
2011,Low,Central Africa,106.95075012000001
2011,Low,Northern Africa,93.64060568
2011,Low,Southern Africa,103.865662235
2011,Low,Western Africa,105.32608921875
2011,Lower-middle,Eastern Africa,125.709592765
2011,Lower-middle,Central Africa,126.31728657333338
2011,Lower-middle,Northern Africa,107.96080407000004
2011,Lower-middle,Southern Africa,98.20717396
2011,Lower-middle,Western Africa,117.2027180914286
2011,Upper-middle,Eastern Africa,160.67159847
2011,Upper-middle,Central Africa,345.04325175000054
2011,Upper-middle,Northern Africa,279.60624903999997
2011,Upper-middle,Southern Africa,208.9762237275005
2012,Low,Eastern Africa,104.98646017857143
2012,Low,Central Africa,105.861129645
2012,Low,Northern Africa,92.20281967
2012,Low,Southern Africa,105.18022086
2012,Low,Western Africa,105.5183005125
2012,Lower-middle,Eastern Africa,126.065411385
2012,Lower-middle,Central Africa,123.34314518000001
2012,Lower-middle,Northern Africa,107.3599613366667
2012,Lower-middle,Southern Africa,95.68200303250003
2012,Lower-middle,Western Africa,117.49186336142861
2012,Upper-middle,Eastern Africa,49.118732239999986
2012,Upper-middle,Central Africa,347.256730835
2012,Upper-middle,Northern Africa,136.91778692499997
2012,Upper-middle,Southern Africa,211.42409844500003
2013,Low,Eastern Africa,106.07710436
2013,Low,Central Africa,104.75619205
2013,Low,Northern Africa,95.87518997000001
2013,Low,Southern Africa,103.29256009
2013,Low,Western Africa,105.43361515
2013,Lower-middle,Eastern Africa,125.51870292000002
2013,Lower-middle,Central Africa,118.01401758666667
2013,Lower-middle,Northern Africa,104.54962115666666
2013,Lower-middle,Southern Africa,76.31702927400002
2013,Lower-middle,Western Africa,116.16672882571446
2013,Upper-middle,Eastern Africa,60.027261520000025
2013,Upper-middle,Central Africa,342.7917959200005
2013,Upper-middle,Northern Africa,141.69374856500002
2013,Upper-middle,Southern Africa,216.24697144
2014,Low,Eastern Africa,105.50940397250001
2014,Low,Central Africa,104.52668754
2014,Low,Northern Africa,89.56151772999999
2014,Low,Southern Africa,102.003848025
2014,Low,Western Africa,104.4109039125
2014,Lower-middle,Eastern Africa,124.22367121
2014,Lower-middle,Central Africa,117.41285503
2014,Lower-middle,Northern Africa,99.22401879000006
2014,Lower-middle,Southern Africa,82.4661802260002
2014,Lower-middle,Western Africa,118.30530487142859
2014,Upper-middle,Eastern Africa,54.85196531999998
2014,Upper-middle,Central Africa,356.59992242500005
2014,Upper-middle,Northern Africa,195.39281352
2014,Upper-middle,Southern Africa,202.44006193750027
2015,Low,Eastern Africa,105.5746481
2015,Low,Central Africa,107.56917428
2015,Low,Northern Africa,98.7002943600001
2015,Low,Southern Africa,101.53587985
2015,Low,Western Africa,105.32380937500001
2015,Lower-middle,Eastern Africa,124.27896755250006
2015,Lower-middle,Central Africa,126.64002697000005
2015,Lower-middle,Northern Africa,77.82573549750002
2015,Lower-middle,Southern Africa,92.45044699600004
2015,Lower-middle,Western Africa,120.49929608857143
2015,Upper-middle,Eastern Africa,60.096790250000026
2015,Upper-middle,Central Africa,388.1351660900005
2015,Upper-middle,Northern Africa,225.3662366300005
2015,Upper-middle,Southern Africa,225.21134935750024
2016,Low,Eastern Africa,105.95145602625
2016,Low,Central Africa,108.06305058000001
2016,Low,Northern Africa,91.71585426
2016,Low,Southern Africa,103.98810406499999
2016,Low,Western Africa,103.93746363125001
2016,Lower-middle,Eastern Africa,124.06819114500007
2016,Lower-middle,Central Africa,121.68443305
2016,Lower-middle,Northern Africa,81.56807698500003
2016,Lower-middle,Southern Africa,99.62295240400002
2016,Lower-middle,Western Africa,120.8554874057143
2016,Upper-middle,Eastern Africa,11.495134460000997
2016,Upper-middle,Central Africa,377.630746705
2016,Upper-middle,Northern Africa,233.03491833
2016,Upper-middle,Southern Africa,224.7115280100005
2017,Low,Eastern Africa,106.38581018444445
2017,Low,Central Africa,108.17815204
2017,Low,Northern Africa,99.78752671
2017,Low,Southern Africa,103.64879351500001
2017,Low,Western Africa,103.14367264750001
2017,Lower-middle,Eastern Africa,125.17771198750003
2017,Lower-middle,Central Africa,120.64414113999999
2017,Lower-middle,Northern Africa,86.21042121250028
2017,Lower-middle,Southern Africa,83.31289562
2017,Lower-middle,Western Africa,119.32785949571429
2017,Upper-middle,Central Africa,385.249898585
2017,Upper-middle,Northern Africa,235.209959555001
2017,Upper-middle,Southern Africa,178.03933700000024
2018,Low,Eastern Africa,106.79667331222223
2018,Low,Central Africa,108.171498275
2018,Low,Northern Africa,104.11143147000001
2018,Low,Southern Africa,102.874849305
