year,income,Subregion,gini_public_health_exp
2000,Low,Eastern Africa,0.30444072297202673
2000,Low,Middle Africa,0.003921315191691033
2000,Low,Northern Africa,0.0
2000,Low,Southern Africa,0.01811603273888096
2000,Low,Western Africa,0.20062073302119354
2000,Lower-middle,Eastern Africa,0.31374955740564503
2000,Lower-middle,Middle Africa,0.32263590199713654
2000,Lower-middle,Northern Africa,0.4412189208308164
2000,Lower-middle,Southern Africa,0.41509058171117275
2000,Lower-middle,Western Africa,0.5447484704672931
2000,Upper-middle,Eastern Africa,0.0
2000,Upper-middle,Middle Africa,0.3396550231963704
2000,Upper-middle,Northern Africa,0.23001759219816043
2000,Upper-middle,Southern Africa,0.13330724898570812
2001,Low,Eastern Africa,0.3336804249636509
2001,Low,Middle Africa,0.038141720531568835
2001,Low,Northern Africa,0.0
2001,Low,Southern Africa,0.07010849326464075
2001,Low,Western Africa,0.20133478573025654
2001,Lower-middle,Eastern Africa,0.2866211949572861
2001,Lower-middle,Middle Africa,0.25601314680107023
2001,Lower-middle,Northern Africa,0.43502947834221817
2001,Lower-middle,Southern Africa,0.2945741141697251
2001,Lower-middle,Western Africa,0.5325087111405613
2001,Upper-middle,Eastern Africa,0.0
2001,Upper-middle,Middle Africa,0.3470662847293804
2001,Upper-middle,Northern Africa,0.2315867319014553
2001,Upper-middle,Southern Africa,0.13418010615655884
2002,Low,Eastern Africa,0.3350030729114548
2002,Low,Middle Africa,0.0951515146892441
2002,Low,Northern Africa,0.0
2002,Low,Southern Africa,0.022498523208517085
2002,Low,Western Africa,0.17901357909697513
2002,Lower-middle,Eastern Africa,0.2093089472093006
2002,Lower-middle,Middle Africa,0.3348208748362824
2002,Lower-middle,Northern Africa,0.4160810519600133
2002,Lower-middle,Southern Africa,0.2985762816830393
2002,Lower-middle,Western Africa,0.5398928774866278
2002,Upper-middle,Eastern Africa,0.0
2002,Upper-middle,Middle Africa,0.33585802615953675
2002,Upper-middle,Northern Africa,0.20780793255922214
2002,Upper-middle,Southern Africa,0.14054765832837646
2003,Low,Eastern Africa,0.3404890175984101
2003,Low,Middle Africa,0.059264377078082964
2003,Low,Northern Africa,0.0
2003,Low,Southern Africa,0.022078938034926
2003,Low,Western Africa,0.2390613584578687
2003,Lower-middle,Eastern Africa,0.21984938831294354
2003,Lower-middle,Middle Africa,0.4124432075465587
2003,Lower-middle,Northern Africa,0.4596848395732023
2003,Lower-middle,Southern Africa,0.4128569999917868
2003,Lower-middle,Western Africa,0.5291275138932663
2003,Upper-middle,Eastern Africa,0.0
2003,Upper-middle,Middle Africa,0.2941602792678526
2003,Upper-middle,Northern Africa,0.1833104216143413
2003,Upper-middle,Southern Africa,0.12961152371411866
2004,Low,Eastern Africa,0.27938425334377115
2004,Low,Middle Africa,0.17712560211544948
2004,Low,Northern Africa,0.0
2004,Low,Southern Africa,0.07208042983459162
2004,Low,Western Africa,0.2708344394134068
2004,Lower-middle,Eastern Africa,0.17571974031178028
2004,Lower-middle,Middle Africa,0.38614938338768034
2004,Lower-middle,Northern Africa,0.47039027594789884
2004,Lower-middle,Southern Africa,0.41239849397402306
2004,Lower-middle,Western Africa,0.5173184391934935
2004,Upper-middle,Eastern Africa,0.0
2004,Upper-middle,Middle Africa,0.26116968721050693
2004,Upper-middle,Northern Africa,0.1664165696377835
2004,Upper-middle,Southern Africa,0.1278901725445738
2005,Low,Eastern Africa,0.2696755645196751
2005,Low,Middle Africa,0.23024778416791247
2005,Low,Northern Africa,0.0
2005,Low,Southern Africa,0.0961049184108198
2005,Low,Western Africa,0.2432885675094194
2005,Lower-middle,Eastern Africa,0.16767332458053952
2005,Lower-middle,Middle Africa,0.38759845453551134
2005,Lower-middle,Northern Africa,0.43355048464064905
2005,Lower-middle,Southern Africa,0.4661176322237459
2005,Lower-middle,Western Africa,0.5026309888110116
2005,Upper-middle,Eastern Africa,0.0
2005,Upper-middle,Middle Africa,0.16296079648078998
2005,Upper-middle,Northern Africa,0.16010217905601198
