year,income,Subregion,min_public_exp,max_public_exp,range_public_exp
2000,High,Eastern Africa,279.37433247,279.37433247,0.0
2000,Low,Eastern Africa,0.74352572,5.173714630000001,4.430188910000001
2000,Low,Central Africa,3.83142667,3.8919986399999993,0.060571969999999364
2000,Low,Northern Africa,4.73373894,4.73373894,0.0
2000,Low,Southern Africa,3.5527395200000007,3.8198641799999997,0.267124659999999
2000,Low,Western Africa,1.13918856,4.17386853,3.03467997
2000,Lower-middle,Eastern Africa,2.6928072999999992,14.73145575,12.03864845
2000,Lower-middle,Central Africa,4.57101766,18.70930694,14.138289280000002
2000,Lower-middle,Northern Africa,3.1982080800000006,58.47010698999999,55.27189890999999
2000,Lower-middle,Southern Africa,5.29778175,40.235596269999995,34.937814519999996
2000,Lower-middle,Western Africa,1.44369482,42.45136273999999,41.007667919999996
2000,Upper-middle,Central Africa,8.616443100000001,45.12046386,36.50402076
2000,Upper-middle,Northern Africa,44.51503652,120.36621215999999,75.85117563999998
2000,Upper-middle,Southern Africa,62.037591189999986,121.69667936,59.65908817000002
2001,High,Eastern Africa,276.44362800000005,276.44362800000005,0.0
2001,Low,Eastern Africa,0.22044756999999998,5.852192950000001,5.631745380000001
2001,Low,Central Africa,3.4833208399999998,4.05864819,0.5753273500000007
2001,Low,Northern Africa,5.06124129,5.06124129,0.0
2001,Low,Southern Africa,3.01497628,3.998366,0.9833897199999999
2001,Low,Western Africa,1.2315733800000002,4.094348510000001,2.862775130000001
2001,Lower-middle,Eastern Africa,3.6396770000000003,13.155624839999998,9.515947839999997
2001,Lower-middle,Central Africa,5.5826891199999995,18.13380993,12.551120810000002
2001,Lower-middle,Northern Africa,3.553022689999999,59.49349291000001,55.94047022000001
2001,Lower-middle,Southern Africa,7.633806229999999,34.98955807,27.355751840000003
2001,Lower-middle,Western Africa,1.6538083399999999,46.40479522,44.75098688
2001,Upper-middle,Central Africa,8.746633120000002,48.44568123999999,39.699048119999986
2001,Upper-middle,Northern Africa,51.116768050000005,139.32377318,88.20700512999998
2001,Upper-middle,Southern Africa,62.583028209999995,111.78326007000001,49.20023186000002
2002,High,Eastern Africa,295.43088195,295.43088195,0.0
2002,Low,Eastern Africa,0.16944773000000002,5.327627689999999,5.158179959999999
2002,Low,Central Africa,3.5349736700000007,5.19662296,1.6616492899999993
2002,Low,Northern Africa,5.7139129,5.7139129,0.0
2002,Low,Southern Africa,3.691111260000001,4.038940770000001,0.34782950999999995
2002,Low,Western Africa,1.28402814,3.52976186,2.2457337199999996
2002,Lower-middle,Eastern Africa,4.83969226,13.53287244,8.69318018
2002,Lower-middle,Central Africa,4.31311127,20.1213104,15.808199129999998
2002,Lower-middle,Northern Africa,5.6664898500000005,64.5227548,58.85626495
2002,Lower-middle,Southern Africa,7.4762636900000015,32.75072984,25.274466149999995
2002,Lower-middle,Western Africa,2.9683368099999994,50.319133279999996,47.35079647
2002,Upper-middle,Central Africa,9.34394933,47.582070939999994,38.23812160999999
2002,Upper-middle,Northern Africa,50.197045999999986,121.59764521,71.40059921000001
2002,Upper-middle,Southern Africa,61.982692179999994,116.37255172999998,54.38985954999999
2003,High,Eastern Africa,336.13733234000006,336.13733234000006,0.0
2003,Low,Eastern Africa,0.3709069100000001,7.66168508,7.290778169999999
2003,Low,Central Africa,4.47814804,5.6824739,1.20432586
2003,Low,Northern Africa,7.331211809999999,7.331211809999999,0.0
2003,Low,Southern Africa,3.9902525899999985,4.35893498,0.36868239000000136
2003,Low,Western Africa,0.95477203,5.249002379999999,4.294230349999999
2003,Lower-middle,Eastern Africa,5.69415175,16.286385130000003,10.592233380000003
2003,Lower-middle,Central Africa,5.620118,37.606825689999994,31.986707689999996
2003,Lower-middle,Northern Africa,5.651119099999998,76.56874532999998,70.91762622999998
2003,Lower-middle,Southern Africa,6.488059799999999,60.09539152,53.60733172
2003,Lower-middle,Western Africa,2.26466407,62.10102192999999,59.836357859999985
2003,Upper-middle,Central Africa,17.524663649999997,67.61276068999999,50.088097039999994
2003,Upper-middle,Northern Africa,58.250248770000006,125.68459704,67.43434826999999
2003,Upper-middle,Southern Africa,82.6986805,157.23350153,74.53482103000002
2004,High,Eastern Africa,362.99493509000007,362.99493509000007,0.0
2004,Low,Eastern Africa,0.36617992,5.9157699,5.54958998
2004,Low,Central Africa,4.614286829999999,9.676988230000001,5.062701400000002
2004,Low,Northern Africa,11.091621929999999,11.091621929999999,0.0
2004,Low,Southern Africa,3.35841844,4.48982846,1.1314100200000001
2004,Low,Western Africa,1.46912248,6.86392641,5.39480393
2004,Lower-middle,Eastern Africa,7.088611,16.28800644,9.19939544
2004,Lower-middle,Central Africa,6.228172590000001,34.38276705,28.15459446
2004,Lower-middle,Northern Africa,6.003050460000001,85.52288263999999,79.51983218
2004,Lower-middle,Southern Africa,7.217660020000001,78.05587061,70.83821059
2004,Lower-middle,Western Africa,1.3363344199999996,66.67031857999999,65.33398415999999
2004,Upper-middle,Central Africa,23.316478940000007,74.31132495,50.99484600999999
2004,Upper-middle,Northern Africa,66.13586817000001,132.12298449,65.98711631999998
