year,income,Subregion,avg_uhc_index
2000,Low,Eastern Africa,20.428571428571427
2000,Low,Central Africa,20.5
2000,Low,Northern Africa,27.0
2000,Low,Southern Africa,24.0
2000,Low,Western Africa,23.75
2000,Lower-middle,Eastern Africa,26.25
2000,Lower-middle,Central Africa,32.666666666666664
2000,Lower-middle,Northern Africa,53.0
2000,Lower-middle,Southern Africa,35.5
2000,Lower-middle,Western Africa,28.714285714285715
2000,Upper-middle,Eastern Africa,62.0
2000,Upper-middle,Central Africa,31.0
2000,Upper-middle,Northern Africa,67.0
2000,Upper-middle,Southern Africa,52.75
2001,Low,Eastern Africa,20.857142857142858
2001,Low,Central Africa,20.0
2001,Low,Northern Africa,27.0
2001,Low,Southern Africa,23.0
2001,Low,Western Africa,23.125
2001,Lower-middle,Eastern Africa,26.75
2001,Lower-middle,Central Africa,32.666666666666664
2001,Lower-middle,Northern Africa,53.0
2001,Lower-middle,Southern Africa,37.0
2001,Lower-middle,Western Africa,28.0
2001,Upper-middle,Eastern Africa,62.0
2001,Upper-middle,Central Africa,30.5
2001,Upper-middle,Northern Africa,67.5
2001,Upper-middle,Southern Africa,53.5
2002,Low,Eastern Africa,21.714285714285715
2002,Low,Central Africa,20.0
2002,Low,Northern Africa,27.0
2002,Low,Southern Africa,21.5
2002,Low,Western Africa,22.625
2002,Lower-middle,Eastern Africa,28.75
2002,Lower-middle,Central Africa,33.0
2002,Lower-middle,Northern Africa,53.75
2002,Lower-middle,Southern Africa,37.25
2002,Lower-middle,Western Africa,27.285714285714285
2002,Upper-middle,Eastern Africa,62.0
2002,Upper-middle,Central Africa,30.0
2002,Upper-middle,Northern Africa,67.5
2002,Upper-middle,Southern Africa,54.5
2003,Low,Eastern Africa,22.142857142857142
2003,Low,Central Africa,20.0
2003,Low,Northern Africa,27.0
2003,Low,Southern Africa,22.5
2003,Low,Western Africa,22.875
2003,Lower-middle,Eastern Africa,29.5
2003,Lower-middle,Central Africa,33.0
2003,Lower-middle,Northern Africa,54.25
2003,Lower-middle,Southern Africa,38.25
2003,Lower-middle,Western Africa,27.0
2003,Upper-middle,Eastern Africa,63.0
2003,Upper-middle,Central Africa,30.5
2003,Upper-middle,Northern Africa,67.5
2003,Upper-middle,Southern Africa,55.0
2004,Low,Eastern Africa,22.428571428571427
2004,Low,Central Africa,19.5
2004,Low,Northern Africa,28.0
2004,Low,Southern Africa,23.5
2004,Low,Western Africa,23.125
2004,Lower-middle,Eastern Africa,30.75
2004,Lower-middle,Central Africa,33.666666666666664
2004,Lower-middle,Northern Africa,55.25
2004,Lower-middle,Southern Africa,39.75
2004,Lower-middle,Western Africa,27.714285714285715
2004,Upper-middle,Eastern Africa,64.0
2004,Upper-middle,Central Africa,31.5
2004,Upper-middle,Northern Africa,67.5
2004,Upper-middle,Southern Africa,57.5
2005,Low,Eastern Africa,23.571428571428573
2005,Low,Central Africa,20.0
2005,Low,Northern Africa,29.0
2005,Low,Southern Africa,25.0
2005,Low,Western Africa,25.125
2005,Lower-middle,Eastern Africa,33.75
2005,Lower-middle,Central Africa,34.333333333333336
2005,Lower-middle,Northern Africa,55.5
2005,Lower-middle,Southern Africa,41.5
2005,Lower-middle,Western Africa,28.714285714285715
2005,Upper-middle,Eastern Africa,64.0
2005,Upper-middle,Central Africa,35.0
2005,Upper-middle,Northern Africa,68.0
2005,Upper-middle,Southern Africa,58.25
2006,Low,Eastern Africa,27.142857142857142
2006,Low,Central Africa,21.0
2006,Low,Northern Africa,31.0
2006,Low,Southern Africa,30.0
2006,Low,Western Africa,29.125
2006,Lower-middle,Eastern Africa,36.0
2006,Lower-middle,Central Africa,37.0
2006,Lower-middle,Northern Africa,56.75
2006,Lower-middle,Southern Africa,44.5
2006,Lower-middle,Western Africa,31.285714285714285
2006,Upper-middle,Eastern Africa,65.0
2006,Upper-middle,Central Africa,39.0
2006,Upper-middle,Northern Africa,68.0
