year,income,Subregion,gini_uhc
2000,High,Eastern Africa,0.0
2000,Low,Eastern Africa,0.11988011988012004
2000,Low,Central Africa,0.060975609756097615
2000,Low,Northern Africa,0.0
2000,Low,Southern Africa,0.02083333333333326
2000,Low,Western Africa,0.1289473684210527
2000,Lower-middle,Eastern Africa,0.088095238095238
2000,Lower-middle,Central Africa,0.10884353741496611
2000,Lower-middle,Northern Africa,0.1839622641509433
2000,Lower-middle,Southern Africa,0.12323943661971826
2000,Lower-middle,Western Africa,0.14925373134328357
2000,Upper-middle,Central Africa,0.11290322580645151
2000,Upper-middle,Northern Africa,0.00746268656716409
2000,Upper-middle,Southern Africa,0.09834123222748814
2001,High,Eastern Africa,0.0
2001,Low,Eastern Africa,0.11350293542074374
2001,Low,Central Africa,0.07499999999999996
2001,Low,Northern Africa,0.0
2001,Low,Southern Africa,0.0
2001,Low,Western Africa,0.12770270270270268
2001,Lower-middle,Eastern Africa,0.07242990654205617
2001,Lower-middle,Central Africa,0.11564625850340149
2001,Lower-middle,Northern Africa,0.1839622641509433
2001,Lower-middle,Southern Africa,0.1283783783783783
2001,Lower-middle,Western Africa,0.15014577259475215
2001,Upper-middle,Central Africa,0.10655737704918034
2001,Upper-middle,Northern Africa,0.0037037037037037646
2001,Upper-middle,Southern Africa,0.08878504672897192
2002,High,Eastern Africa,0.0
2002,Low,Eastern Africa,0.11466165413533846
2002,Low,Central Africa,0.07499999999999996
2002,Low,Northern Africa,0.0
2002,Low,Southern Africa,0.03488372093023262
2002,Low,Western Africa,0.1374309392265194
2002,Lower-middle,Eastern Africa,0.07173913043478253
2002,Lower-middle,Central Africa,0.11447811447811462
2002,Lower-middle,Northern Africa,0.18488372093023253
2002,Lower-middle,Southern Africa,0.1325503355704698
2002,Lower-middle,Western Africa,0.1540762902019448
2002,Upper-middle,Central Africa,0.1166666666666667
2002,Upper-middle,Northern Africa,0.0037037037037037646
2002,Upper-middle,Southern Africa,0.08486238532110102
2003,High,Eastern Africa,0.0
2003,Low,Eastern Africa,0.11981566820276512
2003,Low,Central Africa,0.07499999999999996
2003,Low,Northern Africa,0.0
2003,Low,Southern Africa,0.011111111111111072
2003,Low,Western Africa,0.1454918032786885
2003,Lower-middle,Eastern Africa,0.0847457627118644
2003,Lower-middle,Central Africa,0.12121212121212133
2003,Lower-middle,Northern Africa,0.18087557603686633
2003,Lower-middle,Southern Africa,0.13888888888888884
2003,Lower-middle,Western Africa,0.16326530612244894
2003,Upper-middle,Central Africa,0.12295081967213117
2003,Upper-middle,Northern Africa,0.0037037037037037646
2003,Upper-middle,Southern Africa,0.07954545454545459
2004,High,Eastern Africa,0.0
2004,Low,Eastern Africa,0.13102820746132848
2004,Low,Central Africa,0.08974358974358965
2004,Low,Northern Africa,0.0
2004,Low,Southern Africa,0.010638297872340496
2004,Low,Western Africa,0.125
2004,Lower-middle,Eastern Africa,0.06707317073170738
2004,Lower-middle,Central Africa,0.11881188118811892
2004,Lower-middle,Northern Africa,0.17986425339366519
2004,Lower-middle,Southern Africa,0.14308176100628933
2004,Lower-middle,Western Africa,0.1737849779086893
2004,Upper-middle,Central Africa,0.11904761904761907
2004,Upper-middle,Northern Africa,0.0037037037037037646
2004,Upper-middle,Southern Africa,0.06956521739130439
2005,High,Eastern Africa,0.0
2005,Low,Eastern Africa,0.12640692640692652
2005,Low,Central Africa,0.07499999999999996
2005,Low,Northern Africa,0.0
2005,Low,Southern Africa,0.020000000000000018
2005,Low,Western Africa,0.12126865671641784
2005,Lower-middle,Eastern Africa,0.07962962962962972
2005,Lower-middle,Central Africa,0.12297734627831725
2005,Lower-middle,Northern Africa,0.177927927927928
2005,Lower-middle,Southern Africa,0.1355421686746987
2005,Lower-middle,Western Africa,0.17199715707178398
2005,Upper-middle,Central Africa,0.1428571428571428
2005,Upper-middle,Northern Africa,0.0
2005,Upper-middle,Southern Africa,0.06759656652360513
2006,High,Eastern Africa,0.0
2006,Low,Eastern Africa,0.1082706766917294
2006,Low,Central Africa,0.0714285714285714
2006,Low,Northern Africa,0.0
2006,Low,Southern Africa,0.050000000000000044
2006,Low,Western Africa,0.11641630901287559
2006,Lower-middle,Eastern Africa,0.07638888888888884
2006,Lower-middle,Central Africa,0.10810810810810811
2006,Lower-middle,Northern Africa,0.17070484581497802
2006,Lower-middle,Southern Africa,0.1264044943820224
2006,Lower-middle,Western Africa,0.15525114155251152
2006,Upper-middle,Central Africa,0.15384615384615374
2006,Upper-middle,Northern Africa,0.0
2006,Upper-middle,Southern Africa,0.06012658227848111
2007,High,Eastern Africa,0.0
2007,Low,Eastern Africa,0.11780636425186186
2007,Low,Central Africa,0.08695652173913038
2007,Low,Northern Africa,0.0
2007,Low,Southern Africa,0.03846153846153855
2007,Low,Western Africa,0.12395833333333339
2007,Lower-middle,Eastern Africa,0.07000000000000006
2007,Lower-middle,Central Africa,0.10029498525073755
2007,Lower-middle,Northern Africa,0.16885964912280693
2007,Lower-middle,Southern Africa,0.11021505376344076
2007,Lower-middle,Western Africa,0.1404561824729893
2007,Upper-middle,Central Africa,0.125
2007,Upper-middle,Northern Africa,0.0036496350364962904
2007,Upper-middle,Southern Africa,0.05624999999999991
2008,High,Eastern Africa,0.0
2008,Low,Eastern Africa,0.11038961038961048
2008,Low,Central Africa,0.11224489795918369
2008,Low,Northern Africa,0.0
2008,Low,Southern Africa,0.035211267605633756
2008,Low,Western Africa,0.12801204819277112
2008,Lower-middle,Eastern Africa,0.05891719745222934
2008,Lower-middle,Central Africa,0.09855072463768133
2008,Lower-middle,Northern Africa,0.16304347826086962
2008,Lower-middle,Southern Africa,0.1071428571428572
2008,Lower-middle,Western Africa,0.13877551020408174
2008,Upper-middle,Central Africa,0.10674157303370779
2008,Upper-middle,Northern Africa,0.0036496350364962904
2008,Upper-middle,Southern Africa,0.05371900826446274
2009,High,Eastern Africa,0.0
2009,Low,Eastern Africa,0.11027568922305764
2009,Low,Central Africa,0.10784313725490202
2009,Low,Northern Africa,0.0
2009,Low,Southern Africa,0.054054054054053946
2009,Low,Western Africa,0.12406367041198507
2009,Lower-middle,Eastern Africa,0.045031055900621064
2009,Lower-middle,Central Africa,0.10919540229885061
2009,Lower-middle,Northern Africa,0.1499999999999999
2009,Lower-middle,Southern Africa,0.10449735449735442
2009,Lower-middle,Western Africa,0.140607424071991
2009,Upper-middle,Central Africa,0.09770114942528729
2009,Upper-middle,Northern Africa,0.007246376811594235
2009,Upper-middle,Southern Africa,0.050000000000000044
2010,High,Eastern Africa,0.0
2010,Low,Eastern Africa,0.1164021164021165
2010,Low,Central Africa,0.07692307692307687
2010,Low,Northern Africa,0.0
2010,Low,Southern Africa,0.054054054054053946
2010,Low,Western Africa,0.0877659574468086
2010,Lower-middle,Eastern Africa,0.03994082840236679
2010,Lower-middle,Central Africa,0.11396011396011407
